Average temperature (°C);Uncertainty (°C);
7.25;0.44;
7.58;0.43;
6.29;0.42;
5.89;0.43;
6.87;0.42;
5.93;0.41;
7.29;0.41;
7.78;0.42;
7.67;0.41;
6.59;0.41;
7.84;0.41;
6.8;0.42;
8.29;0.41;
7;0.36;
5.35;0.38;
6.72;0.35;
7.27;0.35;
7.54;0.35;
8.27;0.41;
7.01;0.35;
7.9;0.33;
7.6;0.37;
6.97;0.35;
6.87;0.34;
7.49;0.34;
8.23;0.33;
8.01;0.33;
7.7;0.33;
6.19;0.34;
8.01;0.33;
7.68;0.34;
7.29;0.33;
8.88;0.34;
8.85;0.34;
8.06;0.34;
7.81;0.34;
9.12;0.35;
8.85;0.34;
0.854511086;0.03754222;standard dev
5.35;0.33;min
9.12;0.44;max
